Code,Name,RegionCode
3201,Benešov,27
3202,Beroun,27
3203,Kladno,27
3204,Kolín,27
3205,Kutná Hora,27
3206,Mělník,27
3207,Mladá Boleslav,27
3208,Nymburk,27
3209,Praha-východ,27
3210,Praha-západ,27
3211,Příbram,27
3212,Rakovník,27
3301,České Budějovice,35
3302,Český Krumlov,35
3303,Jindřichův Hradec,35
3304,Pelhřimov,108
3305,Písek,35
3306,Prachatice,35
3307,Strakonice,35
3308,Tábor,35
3401,Domažlice,43
3402,Cheb,51
3403,Karlovy Vary,51
3404,Klatovy,43
3405,Plzeň-město,43
3406,Plzeň-jih,43
3407,Plzeň-sever,43
3408,Rokycany,43
3409,Sokolov,51
3410,Tachov,43
3501,Česká Lípa,78
3502,Děčín,60
3503,Chomutov,60
3504,Jablonec nad Nisou,78
3505,Liberec,78
3506,Litoměřice,60
3507,Louny,60
3508,Most,60
3509,Teplice,60
3510,Ústí nad Labem,60
3601,Havlíčkův Brod,108
3602,Hradec Králové,86
3603,Chrudim,94
3604,Jičín,86
3605,Náchod,86
3606,Pardubice,94
3607,Rychnov nad Kněžnou,86
3608,Semily,78
3609,Svitavy,94
3610,Trutnov,86
3611,Ústí nad Orlicí,94
3701,Blansko,116
3702,Brno-město,116
3703,Brno-venkov,116
3704,Břeclav,116
3705,Zlín,141
3706,Hodonín,116
3707,Jihlava,108
3708,Kroměříž,141
3709,Prostějov,124
3710,Třebíč,108
3711,Uherské Hradiště,141
3712,Vyškov,116
3713,Znojmo,116
3714,Žďár nad Sázavou,108
3801,Bruntál,132
3802,Frýdek-Místek,132
3803,Karviná,132
3804,Nový Jičín,132
3805,Olomouc,124
3806,Opava,132
3807,Ostrava-město,132
3808,Přerov,124
3809,Šumperk,124
3810,Vsetín,141
3811,Jeseník,124
9999,území Hlavního města Prahy,19
