Code,Name,DistrictCode
500011,Želechovice nad Dřevnicí,3705
500020,Petrov nad Desnou,3809
500046,Libhošť,3804
500062,Krhová,3810
500071,Poličná,3810
500101,Bražec,3403
500127,Doupovské Hradiště,3403
500135,Kozlov,3805
500151,Luboměř pod Strážnou,3808
500160,Město Libavá,3805
500194,Polná na Šumavě,3302
500259,Veřovice,3804
500291,Vřesina,3807
500496,Olomouc,3805
500526,Bělkovice-Lašťany,3805
500623,Bílá Lhota,3805
500801,Blatec,3805
500852,Bohuňovice,3805
500861,Bouzov,3805
500879,Bystročice,3805
501476,Dlouhá Loučka,3805
501646,Dolany,3805
501751,Drahanovice,3805
501794,Dub nad Moravou,3805
501841,Grygov,3805
502146,Hlubočky,3805
502235,Hněvotín,3805
502405,Hnojice,3805
502545,Horka nad Moravou,3805
502839,Cholina,3805
503142,Jívová,3805
503304,Kožušany-Tážaly,3805
503410,Žitovlice,3208
503444,Litovel,3805
503622,Luká,3805
503657,Lutín,3805
503738,Majetín,3805
503916,Kostelec,3410
503941,Libavá,3805
504246,Mladeč,3805
504301,Dřenice,3603
504441,Náklo,3805
504505,Náměšť na Hané,3805
504785,Paseka,3805
504807,Lány,3603
504921,Třibřichy,3603
504955,Dvakačovice,3603
505005,Bítovany,3603
505013,Příkazy,3805
505030,Dolní Bezděkov,3603
505081,Senice na Hané,3805
505099,Červená Hora,3605
505111,Slatinice,3805
505145,Březová nad Svitavou,3609
505161,Štěpánov,3805
505188,Šternberk,3805
505218,Šumvald,3805
505269,Těšetice,3805
505293,Troubelice,3805
505366,Tršice,3805
505391,Bělá u Jevíčka,3609
505501,Újezd,3805
505528,Jenčice,3506
505587,Uničov,3805
505609,Velká Bystřice,3805
505650,Velký Týnec,3805
505668,Velký Újezd,3805
505781,Zápy,3209
505862,Žerotín,3805
505927,Opava,3806
506192,Bohuslavice,3806
506214,Bolatice,3806
506320,Brumovice,3806
506451,Březová,3806
506460,Budišov nad Budišovkou,3806
506486,Boží Dar,3403
506494,Nové Hamry,3403
506621,Čichalov,3403
